,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,BedroomRatio,AvgRoomSize,GarageScore,OverallScore,ExterScore,BsmtScore1,BsmtScore2,KitchenScore,FireplaceScore,PoolScore,BsmtFin1Score,BsmtFin2Score,TotFlrSF,TotBath,TotBsmtBath,TotCombBath,TotSF
19,20,RL,70.0,7560,2,0,4,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,3,3,1,2,504,1,0,525,1029,GasA,3,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,7,0,0,Attchd,1958.0,1,1,294,3,3,2,0,0,0,0,0,0,0,3,none,0,5,2009,COD,Abnorml,11.842236406331555,0.5,223.16666666666666,9,30,9,9,9,3,0,0,1008,1008,1339,1.0,0.0,1.0,2368
20,60,RL,101.0,14215,2,0,3,4,4,Corner,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5,3,3,1,0,1,0,1158,1158,GasA,5,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,4,9,8,1,4,BuiltIn,2005.0,2,3,853,3,3,2,240,154,0,0,0,0,0,0,none,0,11,2006,New,Partial,12.692506186542177,0.4444444444444444,264.0,9,40,12,15,45,4,4,0,0,0,2376,3.5,0.0,3.5,3534
21,45,RM,57.0,7449,2,1,4,3,4,Inside,3,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,1,1,0,1,0,637,637,GasA,5,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,4,6,8,1,4,Attchd,1930.0,1,1,280,3,3,0,0,0,205,0,0,0,0,4,none,0,6,2007,WD,Normal,11.845109950883979,0.5,184.66666666666666,9,49,9,9,9,4,4,0,0,0,1108,1.0,0.0,1.0,1745
22,20,RL,75.0,9742,2,0,4,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4,3,1,1,0,1,0,1777,1777,GasA,5,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,4,7,8,1,4,Attchd,2002.0,2,2,534,3,3,2,171,159,0,0,0,0,0,0,none,0,9,2008,WD,Normal,12.345838935721968,0.42857142857142855,256.42857142857144,9,40,12,12,12,4,4,0,0,0,1795,2.0,0.0,2.0,3572
23,120,RM,44.0,4224,2,0,4,4,4,Inside,3,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4,3,1,6,840,1,0,200,1040,GasA,3,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,8,1,3,Attchd,1976.0,1,2,572,3,3,2,100,110,0,0,0,0,0,0,none,0,6,2007,WD,Normal,11.774527900858468,0.5,176.66666666666666,9,35,9,12,12,3,3,0,5040,5040,1060,1.0,1.0,2.0,2100
24,20,RL,69.0,8246,2,0,3,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,3,3,2,3,188,5,668,204,1060,GasA,5,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4,6,8,1,3,Attchd,1968.0,1,1,270,3,3,2,406,90,0,0,0,0,0,3,none,0,5,2010,WD,Normal,11.944714374881176,0.5,176.66666666666666,9,40,12,9,18,4,3,0,564,564,1060,1.0,1.0,2.0,2120
25,20,RL,110.0,14230,2,0,4,4,4,Corner,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4,3,1,1,0,1,0,1566,1566,GasA,5,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,4,7,8,1,4,Attchd,2007.0,2,3,890,3,3,2,0,56,0,0,0,0,0,0,none,0,7,2009,WD,Normal,12.454107814022272,0.42857142857142855,228.57142857142858,9,40,12,12,12,4,4,0,0,0,1600,2.0,0.0,2.0,3166
26,20,RL,60.0,7200,2,0,4,4,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,2,4,234,3,486,180,900,GasA,3,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,4,5,8,0,0,Detchd,2005.0,1,2,576,3,3,2,222,32,0,0,0,0,0,0,none,0,5,2010,WD,Normal,11.811554895830454,0.6,180.0,9,35,9,9,18,4,0,0,936,936,900,1.0,0.5,1.5,1800
27,20,RL,98.0,11478,2,0,4,4,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,1,6,1218,1,0,486,1704,GasA,5,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,4,7,8,1,4,Attchd,2008.0,2,3,772,3,3,2,0,50,0,0,0,0,0,0,none,0,5,2010,WD,Normal,12.631343648903034,0.42857142857142855,243.42857142857142,9,40,12,15,15,4,4,0,7308,7308,1704,2.0,1.0,3.0,3408
28,20,RL,47.0,16321,2,0,3,4,4,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,4,4,1277,1,0,207,1484,GasA,3,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,8,2,4,Attchd,1957.0,2,1,319,3,3,2,288,258,0,0,0,0,0,0,none,0,12,2006,WD,Normal,12.242891437918386,0.3333333333333333,266.6666666666667,9,30,9,9,36,3,8,0,5108,5108,1600,1.0,1.0,2.0,3084
29,30,RM,60.0,6324,2,0,3,4,4,Inside,3,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,1,0,1,0,520,520,GasA,2,N,SBrkr,520,0,0,520,0,0,1,0,1,1,2,4,8,0,0,Detchd,1920.0,1,1,240,2,3,2,49,0,87,0,0,0,0,0,none,0,5,2008,WD,Normal,11.134603622683905,0.25,130.0,6,24,9,9,9,2,0,0,0,0,520,1.0,0.0,1.0,1040
30,70,C (all),50.0,8500,2,2,4,4,4,Inside,3,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,2,BrkTil,3,3,1,1,0,1,0,649,649,GasA,3,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,3,6,8,0,0,Detchd,1920.0,1,1,250,3,2,0,0,54,172,0,0,0,0,3,none,0,7,2008,WD,Normal,10.596659732783579,0.5,219.5,6,16,6,9,9,3,0,0,0,0,1317,1.0,0.0,1.0,1966
31,20,RL,69.0,8544,2,0,3,4,4,CulDSac,3,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,1,0,1,0,1228,1228,GasA,4,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,4,6,8,0,0,Attchd,1966.0,1,1,271,3,3,2,0,65,0,0,0,0,0,3,none,0,6,2008,WD,Normal,11.914054519303125,0.5,204.66666666666666,9,30,9,9,9,4,0,0,0,0,1228,1.5,0.0,1.5,2456
32,20,RL,85.0,11049,2,0,4,4,4,Corner,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,3,1,0,1,0,1234,1234,GasA,5,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,4,7,8,0,0,Attchd,2007.0,2,2,484,3,3,2,0,30,0,0,0,0,0,0,none,0,1,2008,WD,Normal,12.100161978566867,0.42857142857142855,176.28571428571428,9,40,12,15,45,4,0,0,0,0,1234,2.0,0.0,2.0,2468
33,20,RL,70.0,10552,2,0,3,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,3,1,3,1018,1,0,380,1398,GasA,4,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,4,6,8,1,4,Attchd,1959.0,2,2,447,3,3,2,0,38,0,0,0,0,0,0,none,0,4,2010,WD,Normal,12.016732516077072,0.6666666666666666,283.3333333333333,9,25,9,9,9,4,4,0,3054,3054,1700,1.5,0.5,2.0,3098
34,120,RL,60.0,7313,2,0,4,4,4,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5,3,1,6,1153,1,0,408,1561,GasA,5,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,5,6,8,1,4,Attchd,2005.0,3,2,556,3,3,2,203,47,0,0,0,0,0,0,none,0,8,2007,WD,Normal,12.533579815765737,0.3333333333333333,260.1666666666667,9,45,15,15,15,5,4,0,6918,6918,1561,2.0,1.0,3.0,3122
35,60,RL,108.0,13418,2,0,4,4,4,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5,3,3,1,0,1,0,1117,1117,GasA,5,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,4,9,8,1,4,BuiltIn,2004.0,3,3,691,3,3,2,113,32,0,0,0,0,0,0,none,0,9,2006,WD,Normal,12.6410997921206,0.4444444444444444,272.44444444444446,9,40,12,15,45,4,4,0,0,0,2452,3.5,0.0,3.5,3569
36,20,RL,112.0,10859,2,0,4,4,4,Corner,3,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0,1,0,1097,1097,GasA,5,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,3,6,8,0,0,Attchd,1995.0,1,2,672,3,3,2,392,64,0,0,0,0,0,0,none,0,6,2009,WD,Normal,11.884495917930655,0.5,182.83333333333334,9,25,9,12,12,3,0,0,0,0,1097,1.5,0.0,1.5,2194
37,20,RL,74.0,8532,2,0,4,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3,3,1,3,1213,1,0,84,1297,GasA,4,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,3,5,8,1,3,Attchd,1954.0,3,2,498,3,3,2,0,0,0,0,0,0,0,0,none,0,10,2009,WD,Normal,11.938199736300925,0.6,259.4,9,30,9,9,9,3,3,0,3639,3639,1297,1.0,0.5,1.5,2594
38,20,RL,68.0,7922,2,0,4,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,6,731,1,0,326,1057,GasA,3,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,4,5,8,0,0,Detchd,1953.0,1,1,246,3,3,2,0,52,0,0,0,0,0,0,none,0,1,2010,WD,Abnorml,11.599112335481124,0.6,211.4,9,35,12,9,9,4,0,0,4386,4386,1057,1.0,1.0,2.0,2114
39,90,RL,65.0,6040,2,0,4,4,4,Inside,3,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,3,3,PConc,0,0,0,0,0,0,0,0,0,GasA,3,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,2,6,8,0,0,none,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0,6,2008,WD,AdjLand,11.314486721293981,0.3333333333333333,192.0,0,20,9,0,0,4,0,0,0,0,1152,2.0,0.0,2.0,1152
40,20,RL,84.0,8658,2,0,4,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3,3,1,3,643,1,0,445,1088,GasA,5,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,3,6,8,1,3,Attchd,1965.0,2,2,440,3,3,2,0,138,0,0,0,0,0,2,none,0,12,2006,WD,Abnorml,11.982935344196433,0.5,220.66666666666666,9,30,9,9,9,3,3,0,1929,1929,1324,2.0,0.0,2.0,2412
41,20,RL,115.0,16905,2,0,4,4,4,Inside,3,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,4,4,967,1,0,383,1350,GasA,4,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,3,5,8,2,4,Attchd,1959.0,2,1,308,3,3,1,0,104,0,0,0,0,0,0,none,0,7,2007,WD,Normal,12.04355959836804,0.4,265.6,9,30,12,9,36,3,8,0,3868,3868,1328,1.5,0.5,2.0,2678
42,85,RL,69.0,9180,2,0,3,4,4,CulDSac,3,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,4,3,3,5,747,2,93,0,840,GasA,4,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,4,5,8,0,0,Attchd,1983.0,2,2,504,3,4,2,240,0,0,0,0,0,0,3,none,0,12,2007,WD,Normal,11.87757552297847,0.4,176.8,12,35,9,12,36,4,0,0,3735,3735,884,1.0,1.0,2.0,1724
43,20,RL,69.0,9200,2,0,3,4,4,CulDSac,3,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,3,2,280,4,491,167,938,GasA,3,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,3,5,8,0,0,Detchd,1977.0,1,1,308,3,3,2,145,0,0,0,0,0,0,3,none,0,7,2008,WD,Normal,11.777218637129327,0.6,187.6,9,30,9,12,36,3,0,0,560,560,938,1.0,1.0,2.0,1876
44,20,RL,70.0,7945,2,0,4,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,5,179,4,506,465,1150,GasA,5,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,3,6,8,0,0,Attchd,1959.0,2,1,300,3,3,2,0,0,0,0,0,0,0,0,none,0,5,2006,WD,Normal,11.856522261533737,0.5,191.66666666666666,9,30,9,9,9,3,0,0,895,895,1150,1.0,1.0,2.0,2300
